,product_title,product_url,img_url,product_price,average_rating,reviews_count,width,height,legth,breadcrumbs_category_main,breadcrumbs_category_sub
770,"BORGEBY Coffee table - birch veneer 27 1/2 """,https://www.ikea.com/us/en/p/borgeby-coffee-table-birch-veneer-70389356/,https://www.ikea.com/us/en/images/products/borgeby-coffee-table-birch-veneer__0987623_pe817609_s5.jpg,99.0,5.0,1.0,28.25,7.0,28.5,Tables & desks,Accent tables
771,"INGATORP / BERGMUND Table and 4 chairs - black/Ryrane dark blue 61/84 5/8 """,https://www.ikea.com/us/en/p/ingatorp-bergmund-table-and-4-chairs-black-ryrane-dark-blue-s19477064/,https://www.ikea.com/us/en/images/products/ingatorp-bergmund-table-and-4-chairs-black-ryrane-dark-blue__0954353_pe803224_s5.jpg,689.0,4.8,6.0,35.75,4.75,62.75,Tables & desks,Dining sets
772,"PANGET Console table - dark gray/stained 41 3/4x16 1/2 """,https://www.ikea.com/us/en/p/panget-console-table-dark-gray-stained-60474166/,https://www.ikea.com/us/en/images/products/panget-console-table-dark-gray-stained__0836607_pe778549_s5.jpg,199.0,4.6,15.0,19.0,6.25,43.5,Tables & desks,Console tables & sofa tables
773,"LAGKAPTEN / KRILLE Desk - dark gray/white 47 1/4x23 5/8 """,https://www.ikea.com/us/en/p/lagkapten-krille-desk-dark-gray-white-s19416481/,https://www.ikea.com/us/en/images/products/lagkapten-krille-desk-black-brown-white__0977490_pe813616_s5.jpg,83.99,4.0,2.0,23.75,1.25,47.25,Tables & desks,Desks & computer desks
774,"NORDEN / TERJE Table and 2 folding chairs - birch/black 10 1/4/35/59 7/8 """,https://www.ikea.com/us/en/p/norden-terje-table-and-2-folding-chairs-birch-black-s79442552/,https://www.ikea.com/us/en/images/products/norden-terje-table-and-2-folding-chairs-birch-black__1051000_pe844958_s5.jpg,249.0,0.0,0.0,26.0,4.25,32.75,Tables & desks,Dining sets
775,"BEKANT Corner desk-right - white 63x43 1/4 """,https://www.ikea.com/us/en/p/bekant-corner-desk-right-white-s49006425/,https://www.ikea.com/us/en/images/products/bekant-corner-desk-right-black-stained-ash-veneer-black__0736445_pe740557_s5.jpg,259.0,4.5,22.0,45.0,0.75,66.5,Tables & desks,Desks & computer desks
776,"IDANÄS Drop-leaf table - dark brown 20 1/8/33 7/8x37 3/4 """,https://www.ikea.com/us/en/p/idanaes-drop-leaf-table-dark-brown-60487649/,https://www.ikea.com/us/en/images/products/idanaes-drop-leaf-table-dark-brown__1028822_pe835544_s5.jpg,139.0,0.0,0.0,21.5,3.5,42.5,Tables & desks,Dining tables
777,"LAGKAPTEN / ALEX Desk - black-brown/black 78 3/4x23 5/8 """,https://www.ikea.com/us/en/p/lagkapten-alex-desk-black-brown-black-s69417690/,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-black-brown-black__0976183_pe813077_s5.jpg,209.99,4.7,12.0,23.75,1.5,79.25,Tables & desks,Desks & computer desks
778,"NORRÅKER / RÖNNINGE Table and 4 chairs - birch/birch 49 1/4x29 1/8 """,https://www.ikea.com/us/en/p/norraker-roenninge-table-and-4-chairs-birch-birch-s89297229/,https://www.ikea.com/us/en/images/products/norraker-roenninge-table-and-4-chairs-birch-birch__0721855_pe733390_s5.jpg,549.0,0.0,0.0,30.5,1.5,53.75,Tables & desks,Dining sets
779,"TROTTEN Cabinet with sliding doors - anthracite 63x43 1/4 """,https://www.ikea.com/us/en/p/trotten-cabinet-with-sliding-doors-anthracite-s19429657/,https://www.ikea.com/us/en/images/products/trotten-cabinet-with-sliding-doors-anthracite__1019670_pe831498_s5.jpg,318.0,0.0,0.0,22.0,4.75,40.5,Tables & desks,Desks & computer desks
780,"LISABO Coffee table - ash veneer 27 1/2x27 1/2 """,https://www.ikea.com/us/en/p/lisabo-coffee-table-ash-veneer-90297657/,https://www.ikea.com/us/en/images/products/lisabo-coffee-table-ash-veneer__0735610_pe740033_s5.jpg,99.0,4.9,9.0,29.25,2.0,37.0,Tables & desks,Accent tables
781,"BEKANT Corner desk right sit/stand - linoleum blue/white 63x43 1/4 """,https://www.ikea.com/us/en/p/bekant-corner-desk-right-sit-stand-linoleum-blue-white-s19282354/,https://www.ikea.com/us/en/images/products/bekant-corner-desk-right-sit-stand-black-stained-ash-veneer-black__0734912_pe739651_s5.jpg,599.0,3.2,12.0,45.0,0.75,65.75,Tables & desks,Desks & computer desks
782,"TOMMARYD Table - white stained oak veneer/white 51 1/8x27 1/2 """,https://www.ikea.com/us/en/p/tommaryd-table-white-stained-oak-veneer-white-s69387508/,https://www.ikea.com/us/en/images/products/tommaryd-table-anthracite__0740546_pe742055_s5.jpg,169.0,5.0,4.0,28.25,1.25,53.5,Tables & desks,Café tables
783,"BRIMNES Nightstand - gray 15 3/8x16 1/8 """,https://www.ikea.com/us/en/p/brimnes-nightstand-gray-50470220/,https://www.ikea.com/us/en/images/products/brimnes-nightstand-black__0624434_pe691841_s5.jpg,39.99,4.6,201.0,16.0,4.25,22.5,Tables & desks,Nightstands
784,"INGATORP / BERGMUND Table and 4 chairs - black/Inseros white/black 61/84 5/8 """,https://www.ikea.com/us/en/p/ingatorp-bergmund-table-and-4-chairs-black-inseros-white-black-s39477063/,https://www.ikea.com/us/en/images/products/ingatorp-bergmund-table-and-4-chairs-black-ryrane-dark-blue__0954353_pe803224_s5.jpg,709.0,4.8,6.0,35.75,4.75,62.75,Tables & desks,Dining sets
785,"MÖCKELBY Table - oak 92 1/2x39 3/8 """,https://www.ikea.com/us/en/p/moeckelby-table-oak-00293772/,https://www.ikea.com/us/en/images/products/moeckelby-table-oak__0737107_pe740885_s5.jpg,629.0,4.6,22.0,20.75,1.75,95.0,Tables & desks,Dining tables
786,"INGATORP / INGOLF Table and 4 chairs - black/brown-black 61/84 5/8 """,https://www.ikea.com/us/en/p/ingatorp-ingolf-table-and-4-chairs-black-brown-black-s19297157/,https://www.ikea.com/us/en/images/products/ingatorp-ingolf-table-and-4-chairs-black-brown-black__0737937_pe741263_s5.jpg,549.0,4.8,6.0,35.75,4.75,62.75,Tables & desks,Dining sets
787,"LINNMON / ADILS Desk - dark gray/black 39 3/8x23 5/8 """,https://www.ikea.com/us/en/p/linnmon-adils-desk-dark-gray-black-s29416094/,https://www.ikea.com/us/en/images/products/linnmon-adils-desk-black-brown__0974302_pe812345_s5.jpg,34.99,4.6,176.0,23.5,1.5,39.25,Tables & desks,Desks & computer desks
788,"NORDVIKEN Drop-leaf table - white 29 1/8/41x29 1/8 """,https://www.ikea.com/us/en/p/nordviken-drop-leaf-table-white-50368717/,https://www.ikea.com/us/en/images/products/nordviken-drop-leaf-table-black__0714209_pe729967_s5.jpg,129.0,4.0,8.0,18.75,2.5,34.25,Tables & desks,Dining tables
789,LUBBAN Serving cart with storage - rattan/anthracite,https://www.ikea.com/us/en/p/lubban-serving-cart-with-storage-rattan-anthracite-50434307/,https://www.ikea.com/us/en/images/products/lubban-serving-cart-with-storage-rattan-anthracite__0713688_pe729711_s5.jpg,69.99,4.5,20.0,23.25,7.75,29.25,Tables & desks,Accent tables
790,"LISABO / LISABO Table and 4 chairs - black/black 55 1/8x30 3/4 """,https://www.ikea.com/us/en/p/lisabo-lisabo-table-and-4-chairs-black-black-s19385535/,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-4-chairs-ash-veneer-black__0921114_pe787670_s5.jpg,385.0,4.7,3.0,32.0,2.25,64.5,Tables & desks,Dining sets
